URL,Sold_Price,Make,Model,Mileage,Title Status,Seller Type,Engine,Drivetrain,Transmission,Body Style,Exterior Color,Interior Color
https://carsandbids.com/auctions/KZB8oVXk/2026-porsche-911-gt3-touring,"$356,000",Porsche,"992 911
Save",70,Clean (AZ),Dealer,4.0L Flat-6,Rear-wheel drive,Manual (6-Speed),Coupe,Slate Grey Neo,Black
https://carsandbids.com/auctions/3OjpbV8k/2005-bmw-325i-touring,"$12,100",BMW,"3 Series
Save","138,200",Clean (GA),Private Party,2.5L I6,Rear-wheel drive,Automatic (5-Speed),Wagon,Alpine White,Black
https://carsandbids.com/auctions/rNMDMjAb/2021-toyota-supra-a91-edition,"$42,000",Toyota,"Supra
Save","21,700",Clean (CO),Private Party,3.0L Turbocharged I6,Rear-wheel drive,Automatic (8-Speed),Coupe,Nocturnal Black,Black
https://carsandbids.com/auctions/rjj8J4Q7/2015-bmw-m4-coupe,"$26,250",BMW,"F8X M4
Save","91,600",Clean (FL),Dealer ($250 Doc Fee),3.0L Turbocharged I6,Rear-wheel drive,Manual (6-Speed),Coupe,Mineral Gray Metallic,Sakhir Orange
https://carsandbids.com/auctions/30MEQ8ZG/2010-ferrari-california,"$58,500",Ferrari,"California
Save","77,800",Clean (CA),Private Party,4.3L V8,Rear-wheel drive,Automatic (7-Speed),Convertible,Bianco Avus,Black
https://carsandbids.com/auctions/KYR8Vx1w/2009-audi-s5-coupe,"$9,800",Audi,"S5
Save","85,000",Clean (AL),Private Party,4.2L V8,4WD/AWD,Automatic (6-Speed),Coupe,Phantom Black Pearl Effect,Black
https://carsandbids.com/auctions/rwyl0Vkp/2019-porsche-911-carrera-cabriolet,Porsche,"991 911
Save","43,900",Clean (FL),Private Party,3.0L Turbocharged Flat-6,Rear-wheel drive,Automatic (7-Speed),Convertible,Jet Black Metallic,Black
https://carsandbids.com/auctions/3vdBGMLm/2018-maserati-levante-gransport,"$22,000",Maserati,"Levante
Save","25,000",Clean (VA),Dealer,3.0L Turbocharged V6,4WD/AWD,Automatic (8-Speed),SUV/Crossover,Nero Ribelle,Rosso/Nero
https://carsandbids.com/auctions/3zxwWvNL/2017-volkswagen-golf-alltrack-se,"$10,400",Volkswagen,"Golf
Save","80,200",Clean (SC),Private Party,1.8L Turbocharged I4,4WD/AWD,Automatic (6-Speed),Wagon,Platinum Gray Metallic,Black/Pearl Gray
https://carsandbids.com/auctions/3vAJdX8B/2005-mazda-mazdaspeed-mx-5-miata,"$9,200",Mazda,"Mazdaspeed MX-5
Save","89,200",Clean (PA),Private Party,1.8L Turbocharged I4,Rear-wheel drive,Manual (6-Speed),Convertible,Lava Orange Mica,Black
