Make,Model,Drivetrain,Body Style,Transmission_Type,Engine_Cylinders
Mercedes-Benz,G Wagen,4WD/AWD,SUV/Crossover,Automatic,V8
BMW,G8X M4,Rear-wheel drive,Coupe,Manual,I6
Porsche,992 911,Rear-wheel drive,Coupe,Manual,H6
Rivian,R1S,4WD/AWD,SUV/Crossover,Automatic,Electric
Chevrolet,C8 Corvette,Rear-wheel drive,Convertible,Automatic,V8
Chevrolet,C8 Corvette,Rear-wheel drive,Coupe,Automatic,V8
Lucid,Gravity,4WD/AWD,SUV/Crossover,Automatic,Electric
BMW,Z4,Rear-wheel drive,Convertible,Manual,I6
Porsche,992 911,4WD/AWD,Coupe,Automatic,H6
BMW,G9X M5,4WD/AWD,Sedan,Automatic,V8
BMW,M2,Rear-wheel drive,Coupe,Manual,I6
Porsche,Panamera,4WD/AWD,Sedan,Automatic,V8
Porsche,718 Cayman,Rear-wheel drive,Coupe,Manual,H6
Rivian,R1T,4WD/AWD,Truck,Automatic,Electric
Mercedes-Benz,CL AMG,4WD/AWD,Convertible,Automatic,I6
Toyota,Tacoma,4WD/AWD,Truck,Automatic,I4
Cadillac,CT4-V,Rear-wheel drive,Sedan,Manual,V6
Lincoln,Navigator,4WD/AWD,SUV/Crossover,Automatic,V6
Chevrolet,C8 Corvette,4WD/AWD,Convertible,Automatic,V8
Ford,F-150,4WD/AWD,Truck,Automatic,V8
Toyota,4Runner,4WD/AWD,SUV/Crossover,Automatic,I4
Lucid,Air,4WD/AWD,Sedan,Automatic,Electric
Subaru,BRZ,Rear-wheel drive,Coupe,Manual,H4
Land Rover,Range Rover Sport,4WD/AWD,SUV/Crossover,Automatic,V8
Lexus,IS,Rear-wheel drive,Sedan,Automatic,V8
Toyota,GR Corolla,4WD/AWD,Hatchback,Automatic,I3
BMW,G80 M3,Rear-wheel drive,Sedan,Manual,I6
BMW,G80 M3,4WD/AWD,Sedan,Automatic,I6
Volkswagen,ID. Buzz,Rear-wheel drive,Van/Minivan,Automatic,Electric
Ram,1500,4WD/AWD,Truck,Automatic,I6
BMW,G8X M4,4WD/AWD,Coupe,Automatic,I6
Lexus,GX,4WD/AWD,SUV/Crossover,Automatic,V6
Porsche,718 Boxster,Rear-wheel drive,Convertible,Automatic,H6
Land Rover,Defender,4WD/AWD,SUV/Crossover,Automatic,I6
Audi,RS3,4WD/AWD,Sedan,Automatic,I5
Volvo,V60,4WD/AWD,Wagon,Automatic,I4
Cadillac,CT5-V,Rear-wheel drive,Sedan,Manual,V8
Toyota,GR Corolla,4WD/AWD,Hatchback,Manual,I3
GMC,Sierra,4WD/AWD,Truck,Automatic,V8
Ford,Bronco,4WD/AWD,SUV/Crossover,Automatic,V6
Porsche,992 911,4WD/AWD,Convertible,Automatic,H6
BMW,Z4,Rear-wheel drive,Convertible,Automatic,I4
Toyota,Land Cruiser,4WD/AWD,SUV/Crossover,Automatic,I4
Toyota,GR86,Rear-wheel drive,Coupe,Manual,H4
Mercedes-Benz,Sprinter,Rear-wheel drive,Van/Minivan,Automatic,I4
Porsche,992 911,Rear-wheel drive,Convertible,Automatic,H6
Audi,S8,4WD/AWD,Sedan,Automatic,V8
Lotus,Emira,Rear-wheel drive,Coupe,Manual,V6
Cadillac,Escalade,4WD/AWD,SUV/Crossover,Automatic,Electric
Porsche,992 911,Rear-wheel drive,Coupe,Automatic,H6
Land Rover,Defender,4WD/AWD,SUV/Crossover,Automatic,V8
Tesla,Model Y,4WD/AWD,SUV/Crossover,Automatic,Electric
Mercedes-Benz,GLS-Class,4WD/AWD,SUV/Crossover,Automatic,I6
BMW,8 Series,4WD/AWD,Coupe,Automatic,V8
Cadillac,Escalade,4WD/AWD,SUV/Crossover,Automatic,V8
Mercedes-Benz,G Wagen,4WD/AWD,SUV/Crossover,Automatic,Electric
BMW,Z4,Rear-wheel drive,Convertible,Automatic,I6
Toyota,Supra,Rear-wheel drive,Coupe,Automatic,I6
Ferrari,Roma,Rear-wheel drive,Coupe,Automatic,V8
Mercedes-Benz,AMG GT 4-Door,4WD/AWD,Sedan,Automatic,V8
INEOS,Grenadier,4WD/AWD,SUV/Crossover,Automatic,I6
BMW,2 Series,Rear-wheel drive,Coupe,Automatic,I6
Maserati,GranTurismo,4WD/AWD,Coupe,Automatic,V6
Volkswagen,Mk8 GTI,Front-wheel drive,Hatchback,Manual,I4
Porsche,Cayenne,4WD/AWD,SUV/Crossover,Automatic,V6
Mazda,ND Miata,Rear-wheel drive,Convertible,Manual,I4
Audi,RS E-Tron GT,4WD/AWD,Sedan,Automatic,Electric
BMW,X5,4WD/AWD,SUV/Crossover,Automatic,V8
Toyota,Tacoma,4WD/AWD,Truck,Manual,I4
Volkswagen,Golf R,4WD/AWD,Hatchback,Automatic,I4
Ford,Mustang,Rear-wheel drive,Coupe,Manual,V8
Ford,F-150,4WD/AWD,Truck,Automatic,Electric
Nissan,R35 GT-R,4WD/AWD,Coupe,Automatic,V6
Toyota,Tacoma,Rear-wheel drive,Truck,Automatic,I4
Tesla,Model S,4WD/AWD,Sedan,Automatic,Electric
Tesla,Cybertruck,4WD/AWD,Truck,Automatic,Electric
Porsche,Macan,4WD/AWD,SUV/Crossover,Automatic,V6
Chevrolet,Colorado,4WD/AWD,Truck,Automatic,I4
Porsche,Cayenne,4WD/AWD,SUV/Crossover,Automatic,V8
Porsche,992 911,4WD/AWD,Coupe,Manual,H6
BMW,M2,Rear-wheel drive,Coupe,Automatic,I6
Jeep,Wrangler,4WD/AWD,SUV/Crossover,Automatic,V8
Porsche,Taycan,4WD/AWD,Sedan,Automatic,Electric
Alfa Romeo,Giulia,Rear-wheel drive,Sedan,Automatic,V6
Ferrari,Purosangue,4WD/AWD,SUV/Crossover,Automatic,V12
BMW,2 Series,4WD/AWD,Coupe,Automatic,I4
Rolls-Royce,Cullinan,4WD/AWD,SUV/Crossover,Automatic,V12
Jeep,Wrangler,4WD/AWD,SUV/Crossover,Automatic,I4
Mercedes-Benz,E-Class,4WD/AWD,Wagon,Automatic,I6
Toyota,4Runner,4WD/AWD,SUV/Crossover,Automatic,V6
Tesla,Model X,4WD/AWD,SUV/Crossover,Automatic,Electric
Chevrolet,Camaro,Rear-wheel drive,Coupe,Automatic,V8
Ferrari,Roma,Rear-wheel drive,Convertible,Automatic,V8
Hummer,EV Pickup,4WD/AWD,Truck,Automatic,Electric
BMW,X7,4WD/AWD,SUV/Crossover,Automatic,I6
Chevrolet,C8 Corvette,4WD/AWD,Coupe,Automatic,V8
