Make,auction_year,auction_month,Sold_Price,2_keys_ind,is_dry_climate_car,has_sport_seats,recent_major_service,is_project_car
Mercedes-Benz,2020,6,35000.0,1,1,0,1,0
Porsche,2020,6,31500.0,0,0,0,1,0
Land Rover,2020,6,32000.0,0,0,0,1,0
Honda,2020,6,21250.0,1,0,0,1,0
Toyota,2020,6,15000.0,0,0,0,1,0
Dodge,2020,6,8000.0,0,0,0,1,0
BMW,2020,6,44222.0,0,0,0,1,0
Jeep,2020,6,15000.0,0,0,0,1,0
Toyota,2020,6,6800.0,0,0,0,1,0
Mercedes-Benz,2020,6,15200.0,1,0,0,1,0
Mazda,2020,6,8600.0,1,0,0,1,0
Mercedes-Benz,2020,6,8150.0,0,1,0,1,0
Porsche,2020,6,25555.0,1,1,0,1,0
Chevrolet,2020,6,9000.0,0,0,0,1,0
Lexus,2020,6,19700.0,1,1,0,1,0
Saab,2020,6,6300.0,1,0,0,1,0
Rolls-Royce,2020,6,69696.0,0,0,0,1,0
Maserati,2020,6,29250.0,1,0,0,1,0
Ford,2020,6,4500.0,0,1,0,1,0
Ford,2020,6,16500.0,1,0,1,1,0
Mercedes-Benz,2020,6,37750.0,1,0,0,1,0
Mazda,2020,6,6200.0,0,0,0,1,0
BMW,2020,6,23600.0,0,1,0,1,0
BMW,2020,6,6600.0,0,1,0,1,0
Chevrolet,2020,6,33500.0,1,0,0,1,0
Toyota,2020,6,2000.0,0,0,0,1,0
Land Rover,2020,6,3100.0,0,0,0,1,0
Jaguar,2020,6,8000.0,0,1,0,1,0
BMW,2020,6,30500.0,1,0,0,1,0
Mazda,2020,6,6700.0,0,0,0,1,0
BMW,2020,6,14700.0,1,0,0,1,0
Volkswagen,2020,6,3450.0,1,0,0,1,0
Audi,2020,6,21500.0,1,1,1,1,0
Mazda,2020,6,17800.0,0,0,0,1,0
Ford,2020,6,12250.0,1,0,0,1,0
Chevrolet,2020,6,2769.0,0,0,0,1,0
Mazda,2020,6,9200.0,1,0,0,1,0
Porsche,2020,6,12100.0,1,0,0,1,0
Toyota,2020,6,47500.0,1,0,0,1,0
Porsche,2020,6,11500.0,0,0,0,1,0
Mercedes-Benz,2020,6,15700.0,0,1,0,1,0
Ford,2020,6,47000.0,1,0,0,1,0
Mercedes-Benz,2020,6,8600.0,0,1,0,1,0
Pontiac,2020,6,5950.0,0,0,0,1,0
Porsche,2020,6,24300.0,0,0,0,1,0
Suzuki,2020,6,5900.0,0,0,0,1,0
Honda,2020,6,30750.0,1,0,0,1,0
BMW,2020,6,39200.0,1,0,0,1,0
Mercedes-Benz,2020,6,9888.0,0,1,0,1,0
Toyota,2020,6,9575.0,1,1,0,1,0
Land Rover,2020,6,31000.0,0,0,0,1,0
Volkswagen,2020,6,4600.0,1,0,0,1,1
MINI,2020,6,7401.0,1,0,0,1,0
Mercedes-Benz,2020,7,45000.0,1,1,0,1,0
Plymouth,2020,7,17100.0,0,0,0,1,0
BMW,2020,7,52000.0,1,0,0,1,0
Subaru,2020,7,14600.0,0,0,0,1,0
Porsche,2020,7,24880.0,1,0,0,1,0
Mazda,2020,7,7800.0,0,0,0,1,0
Mazda,2020,7,9791.0,1,1,0,1,0
Mercedes-Benz,2020,7,15600.0,0,1,0,1,0
Lexus,2020,7,17100.0,0,0,0,1,0
BMW,2020,7,12000.0,0,0,0,1,0
Datsun,2020,7,5900.0,1,0,0,1,0
Bentley,2020,7,32257.0,0,0,0,1,0
Toyota,2020,7,23100.0,1,0,0,1,0
Saab,2020,7,14000.0,0,0,0,1,0
Polaris,2020,7,13000.0,0,0,0,1,0
Chevrolet,2020,7,11479.0,0,0,0,1,0
Mazda,2020,7,6200.0,0,0,0,1,0
Porsche,2020,7,27605.0,0,1,0,1,0
Mercedes-Benz,2020,7,11258.0,1,1,0,1,0
Mercedes-Benz,2020,7,8100.0,1,0,0,1,0
Chevrolet,2020,7,11517.0,1,0,0,1,0
Mercedes-Benz,2020,7,14500.0,1,0,0,1,0
Aston Martin,2020,7,34750.0,0,0,0,1,0
Porsche,2020,7,17101.0,1,1,0,1,0
Land Rover,2020,7,30000.0,0,1,0,1,0
Mercury,2020,7,3400.0,0,1,0,1,0
Exomotive,2020,7,10500.0,0,0,0,1,0
Mazda,2020,7,12600.0,1,1,0,1,0
Lexus,2020,7,30000.0,0,0,0,1,0
Subaru,2020,7,6100.0,0,0,0,1,0
Pontiac,2020,7,2400.0,0,0,0,1,0
Audi,2020,7,20004.0,1,1,1,1,0
Porsche,2020,7,45500.0,1,1,0,1,0
BMW,2020,7,6000.0,1,1,0,1,0
Ferrari,2020,7,77000.0,1,1,0,1,0
BMW,2020,7,20222.0,1,1,0,1,0
BMW,2020,7,7100.0,0,0,0,1,0
Acura,2020,7,2799.0,0,1,0,1,0
BMW,2020,7,14750.0,0,0,0,1,0
Mercedes-Benz,2020,7,5100.0,1,1,0,1,0
Peugeot,2020,7,17100.0,1,0,0,1,0
Mercedes-Benz,2020,7,24655.0,0,0,0,1,0
BMW,2020,7,13000.0,1,0,0,1,0
Subaru,2020,7,11800.0,0,1,0,1,0
Mazda,2020,7,2100.0,0,0,0,1,0
Audi,2020,7,15000.0,0,0,0,1,0
Porsche,2020,7,18100.0,1,0,0,1,0
Ford,2020,7,7907.0,1,0,0,1,0
Mercedes-Benz,2020,7,7950.0,0,1,0,1,0
BMW,2020,7,19000.0,0,1,0,1,0
Nissan,2020,7,10000.0,0,1,0,1,0
Jeep,2020,7,8000.0,0,1,0,1,0
Toyota,2020,7,21000.0,0,0,0,1,0
Chevrolet,2020,7,5100.0,1,0,0,1,0
Mercedes-Benz,2020,7,38000.0,0,0,0,1,0
BMW,2020,7,11600.0,0,0,0,1,0
BMW,2020,7,11800.0,1,1,0,1,0
Mercedes-Benz,2020,7,15911.0,1,0,0,1,0
Toyota,2020,7,21100.0,1,0,0,1,0
Chevrolet,2020,7,4700.0,0,0,0,1,0
Jaguar,2020,7,12000.0,1,1,0,1,0
Land Rover,2020,7,42500.0,1,1,0,1,0
Mazda,2020,7,13200.0,1,1,0,1,0
BMW,2020,7,18000.0,1,0,0,1,0
Chevrolet,2020,7,6396.0,0,1,0,1,0
Porsche,2020,7,50500.0,1,1,0,1,0
Honda,2020,7,32000.0,1,1,0,1,0
