Word,Frequency,Impact_Value
000,508.19064251618516,-6765.465320587825
000 mile,130.4882532128975,-1940.87116492202
000 miles,417.8448139743193,-9562.787490186602
10,230.12998907322032,15588.128416627356
10 000,59.19329371983368,5066.804504498471
11,90.3699155022641,5697.7152827413565
12,206.467901930045,22380.462379999513
12 inch,105.87813491044261,1111.030100503474
120,62.62240951737146,-10881.77752618201
125,58.19456126554361,-7194.924746132201
13,113.37345429058158,1161.9462504523312
135,64.97919541814682,-795.0368330622773
14,205.61242063251802,5755.110161786003
14 inch,133.23273001612066,-24851.52857138803
140,62.33267518459834,-7961.428542828532
15,357.2066869047668,-4533.6812388467515
15 inch,318.2326610815673,-22197.010934549402
150,137.74517553578562,10336.253246082428
16,389.15675739591774,2161.430058878335
16 inch,358.0387487748848,-9271.67410927228
17,463.58029199296533,895.5251942068867
17 inch,443.8656814207797,-13685.456550191151
18,501.38801505714633,14565.96386656835
18 inch,474.1768924416139,5810.00031323215
19,419.0267196845006,5325.083180409705
19 inch,390.9575759661331,4846.39890892025
1984,66.2785820801191,-3220.8180059071865
1986,68.77503612996179,-2048.6994406346157
1987,65.58894289733507,-10746.537462610744
1988,66.13655588091422,4482.895879394604
1989,89.227776180497,-4403.012333901539
1990,109.00219993899327,-2670.752357926071
1991,127.17323972141882,-11809.222819859227
1992,111.45801792883357,-18046.58914563369
1993,98.4484942138957,2532.124726440887
1994,116.43667005149088,-8286.680281064759
1995,136.693770435138,-5027.3900605181525
1996,139.5333033558421,-10236.953850628044
1997,158.65596677566177,-13318.618952993347
1998,137.56397273091113,-6248.960518745025
1999,183.78425855678822,-2480.0782781997377
1999 year,67.45818486998641,-7400.2240923279305
20,407.7213405084082,19940.382515523077
20 inch,356.64183910293593,41657.33955729718
2001,168.48218407227887,-3483.7494416983163
2002,178.0606841076063,-969.2061404827557
2003,201.9262177547772,-12959.849766075102
2003 year,64.853839944699,-4005.6156962221366
2004,194.19179704244783,-16568.025233941466
2005,187.17432992442525,5181.739795386019
2006,224.31924732509864,-6979.608090396375
2006 year,63.289763986282765,-12390.987530733151
2007,187.77939635287737,-13767.442418577786
2008,191.4838973516737,-15349.691952025996
2009,152.43580169613102,-1314.0422925368016
2010,152.83073365974704,1475.9095762600978
2011,173.0589698298026,-9693.938646515553
2012,188.67886443376725,-6966.791069360299
2013,211.67463526048363,-17411.035313449098
2014,228.577342700222,-9450.103525080567
2015,229.74059739338676,-2495.172271299302
2016,278.9341211483488,-5118.897363875362
2016 date,59.38569965356242,2449.622688990778
2017,309.5361279911167,-637.6579329560974
2017 date,67.3219427501748,947.7659567049336
2018,363.9875896282881,-2951.5240859747432
2018 date,69.87508755146237,1039.5907209803554
2019,512.3060772061018,9950.681941266876
2019 date,59.85955594468025,-9356.291728697433
2020,611.4096603836109,-7980.876376792321
2020 added,79.85358237125426,-5835.411632311419
