Make,Model,Year,Sold_Price,Predicted_Price
BMW,3 Series,2007.0,8250.0,10041.146
BMW,X7,2021.0,65500.0,55442.91
Bentley,Continental,2013.0,58111.0,41392.867
Mazda,ND Miata,2021.0,25250.0,29483.451
Jaguar,XJR,1999.0,15000.0,9816.308
Pontiac,Firebird,1967.0,31000.0,36239.53
Chevrolet,C7 Corvette,2016.0,46000.0,45148.535
Ford,Super Duty,1994.0,12000.0,11495.865
Lexus,SC,2002.0,10350.0,6976.7383
Nissan,R35 GT-R,2016.0,110000.0,77423.02
Tesla,Model S,2016.0,13600.0,21387.95
BMW,3 Series,2006.0,5140.0,7250.093
Dodge,Challenger,2023.0,60000.0,53537.94
BMW,2 Series,2023.0,42500.0,34546.168
Porsche,Cayenne,2009.0,10600.0,10268.207
Nissan,300ZX,1990.0,15500.0,14849.378
Mercedes-Benz,CL AMG,2008.0,20500.0,19117.3
Subaru,WRX,2002.0,6800.0,8206.668
Pontiac,GTO,2005.0,14100.0,13594.825
Mercedes-Benz,G Wagen,2003.0,37000.0,30519.643
BMW,E9X M3,2013.0,41500.0,45671.074
Mitsubishi,Delica,1990.0,8500.0,13039.607
Ford,Focus RS,2017.0,20500.0,22575.953
Genesis,G90,2017.0,17400.0,24973.09
Porsche,Cayenne,2005.0,14865.0,19385.488
BMW,E36 M3,1996.0,14000.0,18404.732
Honda,S-MX,1998.0,4300.0,5810.849
Land Rover,Defender,1996.0,50000.0,37590.582
Subaru,BRZ,2023.0,25750.0,22599.887
Mercedes-Benz,C-Class AMG,2013.0,111000.0,43513.605
Chevrolet,Suburban,1992.0,16250.0,11170.586
BMW,3 Series,2000.0,5246.0,9300.012
BMW,5 Series,2019.0,26500.0,30872.96
Mercedes-Benz,CL-Class,2006.0,14800.0,12732.457
Acura,NSX,2001.0,115500.0,70155.82
Subaru,WRX,2013.0,17000.0,14537.958
Land Rover,Defender,2025.0,159999.0,88211.64
Toyota,Land Cruiser,1994.0,20000.0,16425.62
Porsche,997 911,2009.0,37000.0,42477.71
Subaru,WRX STI,2007.0,13500.0,12643.116
Ford,Super Duty,1997.0,10600.0,8148.373
Mercedes-Benz,C-Class AMG,2005.0,20500.0,17479.125
Mercedes-Benz,W211 E55 AMG,2005.0,7700.0,7446.8657
Oldsmobile,Cutlass Supreme,1972.0,30000.0,17180.652
Audi,TT,2003.0,10099.0,10424.821
Volkswagen,Touareg,2014.0,7200.0,8269.29
Ford,Bronco,1970.0,100000.0,59273.582
Dodge,Challenger,2019.0,31500.0,34830.81
Mitsubishi,Lancer Evolution,2006.0,26000.0,15378.973
BMW,1 Series,2013.0,11250.0,15370.951
Alfa Romeo,Giulia,2023.0,54000.0,41784.215
Toyota,Land Cruiser,1996.0,21000.0,12241.82
Hummer,H2,2006.0,9250.0,11067.412
Lotus,Evora,2014.0,40250.0,41878.29
Toyota,Land Cruiser,1987.0,16500.0,19028.096
BMW,3 Series,2016.0,27000.0,15568.772
Jeep,Gladiator,2021.0,32250.0,27883.107
BMW,2 Series,2017.0,25500.0,21630.81
Toyota,Sequoia,2023.0,59000.0,42748.29
Chevrolet,Monte Carlo,2022.0,5500.0,9900.791
BMW,G80 M3,2022.0,61000.0,56700.324
BMW,E46 M3,2006.0,23250.0,22060.553
BMW,X3,2004.0,5100.0,6107.618
Subaru,Legacy,1999.0,7000.0,7610.932
Porsche,996 911,2004.0,17000.0,17479.559
Mercedes-Benz,Sprinter,2003.0,28888.0,11796.779
Nissan,R34 Skyline,1999.0,130500.0,86814.88
Ram,2500,2024.0,82000.0,65335.93
Honda,N600,1970.0,12000.0,15876.435
Infiniti,M45,2007.0,11400.0,4660.3423
Chevrolet,Suburban,2005.0,12000.0,11201.418
Dodge,Challenger,2017.0,48550.0,43700.375
BMW,2 Series,2022.0,26000.0,24871.502
AM General,Hummer,1993.0,10600.0,32515.674
BMW,3 Series,2014.0,20954.0,11010.012
Land Rover,Defender,1997.0,25000.0,22395.047
Saturn,Sky,2008.0,10654.0,13683.397
Jeep,Wrangler,2005.0,5789.0,11689.283
Toyota,4Runner,2013.0,12350.0,10156.256
Hummer,H2,2005.0,19250.0,12262.223
Porsche,992 911,2023.0,122500.0,129946.664
Dodge,Durango,2004.0,9500.0,18859.836
Subaru,WRX STI,2016.0,17000.0,22140.057
Porsche,987 Cayman,2012.0,62500.0,27729.033
Triumph,TR6,1972.0,17000.0,20247.43
Audi,B7 RS4,2008.0,26000.0,32279.0
Ford,Fiesta,2017.0,11900.0,14204.252
BMW,3 Series,1999.0,10110.0,12584.156
Land Rover,Range Rover,2017.0,47000.0,39124.46
BMW,E39 M5,2002.0,21500.0,23257.705
Bentley,Flying Spur,2016.0,32786.0,45321.918
Mercedes-Benz,E-Class,2007.0,7600.0,7618.682
Porsche,991 911,2017.0,125274.0,100694.695
Jeep,Wrangler,2013.0,13500.0,11753.307
Audi,S7,2016.0,23050.0,23439.521
Audi,SQ5,2019.0,20950.0,24561.926
BMW,6 Series,2014.0,16000.0,14924.373
Toyota,Celsior,1996.0,8900.0,7920.1
MINI,Cooper,2006.0,10900.0,9023.535
Dodge,Viper,2013.0,116999.0,105349.1
Mazda,FC RX-7,1987.0,23000.0,14945.653
Volvo,V70,2005.0,8600.0,7630.3833
Toyota,4Runner,2016.0,30000.0,19060.445
BMW,5 Series,1994.0,31500.0,14804.918
Lotus,Europa,1973.0,8800.0,16898.055
BMW,3 Series,2001.0,23750.0,16454.5
Chevrolet,C5 Corvette,2003.0,25000.0,21496.457
Honda,Civic,2013.0,7700.0,6500.387
BMW,Z4,2013.0,13500.0,8301.342
Mazda,FD RX-7,1993.0,37000.0,31367.86
Land Rover,Defender,1997.0,49000.0,26960.021
GMC,Savana,2007.0,19500.0,13688.188
Ford,Focus,2013.0,8000.0,7962.957
Dodge,Charger,1972.0,27500.0,25096.887
Ford,Mustang,2006.0,8900.0,10553.182
BMW,M2,2017.0,30500.0,37191.34
Chevrolet,Camaro,1997.0,10500.0,17106.994
BMW,X5,2012.0,7500.0,8589.372
Ram,2500,2017.0,26000.0,39873.965
Ford,Mustang,2001.0,11500.0,14018.485
Volvo,V60,2023.0,56500.0,50219.984
Mercedes-Benz,S-Class,2009.0,14747.0,11022.315
GMC,Vandura,1994.0,15000.0,7325.8613
Audi,S6,2016.0,18250.0,20251.1
Toyota,Century,1999.0,9999.0,9618.072
Tesla,Model 3,2022.0,20000.0,22521.502
Porsche,992 911,2025.0,137500.0,106681.95
Cobra,Replica,2001.0,25250.0,30596.932
BMW,5 Series,2003.0,14100.0,12299.505
Jeep,Wrangler,2003.0,6750.0,9519.198
Land Rover,Defender,1985.0,65500.0,75072.36
Porsche,996 911,1999.0,22505.0,26642.36
Mercedes-Benz,S-Class,2009.0,8200.0,8778.916
BMW,Alpina B6 2.8,1997.0,20666.0,17779.645
Pontiac,GTO,1964.0,41000.0,51342.59
Porsche,997 911,2012.0,79273.0,63477.914
Porsche,Cayenne,2006.0,18000.0,16604.469
Nissan,300ZX,1995.0,6200.0,8856.601
BMW,02 Series,1971.0,18000.0,13626.746
Ford,Mustang,2019.0,57574.0,43140.77
BMW,F06/F12/F13 M6,2019.0,37150.0,39532.914
Honda,CR-Z,2013.0,6500.0,7368.5947
AM General,Hummer,1998.0,39000.0,21846.762
BMW,3 Series,2013.0,13769.0,16275.464
Toyota,Sequoia,2005.0,14669.0,10497.697
Mitsubishi,Lancer Evolution,2004.0,20250.0,17443.453
Tesla,Model Y,2023.0,26749.0,27931.201
Jeep,Wrangler,2017.0,21000.0,21605.904
Ford,Mustang,2021.0,51000.0,48741.137
BMW,3 Series,2013.0,9200.0,12162.984
Mercedes-Benz,E-Class,1992.0,2900.0,4892.246
Tesla,Model S,2012.0,15700.0,20376.193
Honda,Element,2005.0,5250.0,7341.467
Porsche,997 911,2005.0,34297.0,32761.799
Jeep,Wrangler,1998.0,5100.0,8851.18
Honda,Prelude,2001.0,10250.0,10485.38
Porsche,Cayenne,2023.0,118500.0,136747.55
Toyota,MR2,1993.0,17900.0,14497.209
BMW,Z3,1999.0,19000.0,19939.059
Audi,B7 S4,2008.0,8000.0,9891.975
Mercedes-Benz,G Wagen,2013.0,40000.0,31624.262
Mercedes-Benz,R107 SL,1986.0,47000.0,15233.329
Porsche,991 911,2019.0,150500.0,118670.27
Toyota,4Runner,2000.0,13600.0,11813.973
Audi,R8,2014.0,92000.0,82816.07
Chevrolet,Camaro,1969.0,50000.0,53649.875
Mazda,ND Miata,2023.0,23250.0,25409.836
Land Rover,Range Rover Sport,2017.0,13370.0,19250.57
Ford,Fiesta,2019.0,21500.0,24981.69
Fiat,500,1970.0,7400.0,9089.563
Infiniti,G35,2006.0,10300.0,10188.243
Lamborghini,Espada,1970.0,43000.0,59607.074
Mercedes-Benz,C-Class AMG,2008.0,16750.0,19616.572
Porsche,987 Cayman,2009.0,24500.0,14605.598
Audi,B9 S4,2019.0,34000.0,36639.035
Ford,Mustang,1997.0,15000.0,12737.449
Land Rover,Defender,1989.0,27501.0,44703.246
Volkswagen,Passat,2014.0,7250.0,6836.8774
Nissan,Pulsar,1989.0,10250.0,11639.166
Mercedes-Benz,E-Class,2014.0,12800.0,12619.167
Audi,A4,2021.0,26250.0,20094.225
Mazda,NA Miata,1991.0,13300.0,11303.48
BMW,1 Series,2013.0,9100.0,7402.1816
Jeep,Wrangler,2021.0,26000.0,31010.71
Land Rover,Range Rover,2016.0,20500.0,26966.014
Mazda,Mazdaspeed MX-5,2005.0,14300.0,14105.634
Mercedes-Benz,SLK-Class,1997.0,5400.0,12818.284
Ram,2500,2023.0,63500.0,64052.28
Tesla,Model Y,2021.0,25250.0,24007.576
BMW,Z3,1996.0,7200.0,12084.875
